Permalink,full_text,text,tokenized_text,nouns,nouns_adj,gensim_topics_14,gensim_topics_8,nouns_cv,nouns_adj_cv,sklearn_topics
1461592700688140,So now they are talking about an extra 450 a week as an incentive to go back to work bc people are refusing to go back to work bc they are making more money on unemployment! Here’s a thought if they refuse to go back to work cut off their unemployment! I wouldn’t think this would pass but it still pisses me off.,talking extra week incentive go back work bc people refusing go back work bc making money unemployment thought refuse go back work cut unemployment think would pass still pisses,"['talking', 'extra', 'week', 'incentive', 'go', 'back', 'work', 'bc', 'people', 'refusing', 'go', 'back', 'work', 'bc', 'making', 'money', 'unemployment', 'thought', 'refuse', 'go', 'back', 'work', 'cut', 'unemployment', 'think', 'would', 'pass', 'still', 'pisses']","['week', 'incentive', 'work', 'bc', 'people', 'work', 'bc', 'money', 'unemployment', 'thought', 'refuse', 'work', 'cut', 'unemployment', 'think', 'pisses']","['extra', 'week', 'incentive', 'work', 'bc', 'people', 'work', 'bc', 'money', 'unemployment', 'thought', 'refuse', 'work', 'cut', 'unemployment', 'think', 'pisses']",4,4,week incentive work bc people work bc money unemployment thought refuse work cut unemployment think pisses,extra week incentive work bc people work bc money unemployment thought refuse work cut unemployment think pisses,0
1461900943990649,Goody.....least I will know where not to give my business in the future!,goody least know give business future,"['goody', 'least', 'know', 'give', 'business', 'future']","['goody', 'business', 'future']","['goody', 'least', 'know', 'give', 'business', 'future']",10,5,goody business future,goody least know give business future,3
1462227187291358,"I have been a fan of SpaceX for a long time.  Today they will Launch the first private manned mission to the ISS in history.  Launch window opens around 4.30pm est. If you are able too take a break and watch it live! All major networks will be covering it. Discovery Channel will be doing a 2 hour live special. Most of the news networks as well have specials that will air. The exception is apprantley CNN, who is going to be focusing on the COVID 19 fear fest.",fan spacex long time today launch first private manned mission iss history launch window opens around pm est able take break watch live major networks covering discovery channel hour live special news networks well specials air exception apprantley cnn going focusing covid fear fest,"['fan', 'spacex', 'long', 'time', 'today', 'launch', 'first', 'private', 'manned', 'mission', 'iss', 'history', 'launch', 'window', 'opens', 'around', 'pm', 'est', 'able', 'take', 'break', 'watch', 'live', 'major', 'networks', 'covering', 'discovery', 'channel', 'hour', 'live', 'special', 'news', 'networks', 'well', 'specials', 'air', 'exception', 'apprantley', 'cnn', 'going', 'focusing', 'covid', 'fear', 'fest']","['fan', 'time', 'today', 'mission', 'history', 'launch', 'window', 'pm', 'est', 'watch', 'networks', 'discovery', 'hour', 'news', 'networks', 'specials', 'exception', 'apprantley', 'cnn', 'fear']","['fan', 'long', 'time', 'today', 'private', 'mission', 'iss', 'history', 'launch', 'window', 'pm', 'est', 'able', 'break', 'watch', 'live', 'major', 'networks', 'discovery', 'hour', 'live', 'special', 'news', 'networks', 'specials', 'exception', 'apprantley', 'cnn', 'covid', 'fear', 'fest']",2,2,fan time today mission history launch window pm est watch networks discovery hour news networks specials exception apprantley cnn fear,fan long time today private mission iss history launch window pm est able break watch live major networks discovery hour live special news networks specials exception apprantley cnn covid fear fest,1
1456491401198270,"Dear Governor Gruesome, since you have forced the entire state to wear a mask in public, you should be wearing yours. We do not need (or want) to see your lips, as you have an ASL interpreter standing next to you. Follow your own mandates! ",dear governor gruesome since forced entire state wear mask public wearing need want see lips asl interpreter standing next follow mandates,"['dear', 'governor', 'gruesome', 'since', 'forced', 'entire', 'state', 'wear', 'mask', 'public', 'wearing', 'need', 'want', 'see', 'lips', 'asl', 'interpreter', 'standing', 'next', 'follow', 'mandates']","['governor', 'gruesome', 'state', 'wear', 'mask', 'need', 'lips', 'follow', 'mandates']","['dear', 'governor', 'gruesome', 'entire', 'state', 'wear', 'mask', 'public', 'need', 'lips', 'next', 'follow', 'mandates']",4,0,governor gruesome state wear mask need lips follow mandates,dear governor gruesome entire state wear mask public need lips next follow mandates,4
1458640287650048,Whitmer extends Michigan's stay-at-home order until June 12,whitmer extends michigan stay home order june,"['whitmer', 'extends', 'michigan', 'stay', 'home', 'order', 'june']","['whitmer', 'home', 'order', 'june']","['whitmer', 'michigan', 'home', 'order', 'june']",10,1,whitmer home order june,whitmer michigan home order june,3
1462557803924963,Omgoodness... WATCH THIS!!! MSNBC is live on air chastising people for not wearing masks. Then a guy from the crowd films with his ohone that only the Reporter (the guy on camera) is wearing a mask...BUT his camera crew IS NOT. To he Reporter literally goes SPEECHLESS!!  SHUT DOWN... HA HA HA. They are manipulating YOU!!!,omgoodness watch msnbc live air chastising people wearing masks guy crowd films ohone reporter guy camera wearing mask camera crew reporter literally goes speechless shut ha ha ha manipulating,"['omgoodness', 'watch', 'msnbc', 'live', 'air', 'chastising', 'people', 'wearing', 'masks', 'guy', 'crowd', 'films', 'ohone', 'reporter', 'guy', 'camera', 'wearing', 'mask', 'camera', 'crew', 'reporter', 'literally', 'goes', 'speechless', 'shut', 'ha', 'ha', 'ha', 'manipulating']","['watch', 'msnbc', 'air', 'people', 'masks', 'guy', 'films', 'reporter', 'guy', 'camera', 'mask', 'camera', 'crew', 'reporter', 'shut', 'ha', 'ha', 'ha', 'manipulating']","['omgoodness', 'watch', 'msnbc', 'live', 'air', 'people', 'masks', 'guy', 'films', 'reporter', 'guy', 'camera', 'mask', 'camera', 'crew', 'reporter', 'speechless', 'shut', 'ha', 'ha', 'ha', 'manipulating']",4,2,watch msnbc air people masks guy films reporter guy camera mask camera crew reporter shut ha ha ha manipulating,omgoodness watch msnbc live air people masks guy films reporter guy camera mask camera crew reporter speechless shut ha ha ha manipulating,4
1462157640631646,"This clown just admitted how big of an idiot he is to keep the New York economy closed. He also admits that minority businesses are the hardest hit with 100K businesses closed for good.And Newsom seems to be following his model, not just with leading many into bankruptcy but causing thousands of deaths in nursing homes. Mainstream media seems willing moreso than not to tell the truth about Cuomo but not about Newsom who gets glowing reviews across the nation.  Why is that? Both need to be removed from office as quickly as possible and their edicts reversed and businesses opened.Some useful tidbits to ponder:""The coronavirus crisis has forced more than 100,000 small businesses in New York to close permanently, the governor said Friday. The huge swath of closures means main streets will look at lot different when the state is allowed to reopen.At most risk have been businesses that are owned by minorities, Gov. Andrew Cuomo said.""Small businesses are taking a real beating,"" he said. ""They are 90 percent of New York's businesses and they're facing the toughest challengers.""",clown admitted big idiot keep new york economy closed also admits minority businesses hardest hit k businesses closed good newsom seems following model leading many bankruptcy causing thousands deaths nursing homes mainstream media seems willing moreso tell truth cuomo newsom gets glowing reviews across nation need removed office quickly possible edicts reversed businesses opened useful tidbits ponder coronavirus crisis forced small businesses new york close permanently governor said friday huge swath closures means main streets look lot different state allowed reopen risk businesses owned minorities gov andrew cuomo said small businesses taking real beating said percent new york businesses facing toughest challengers,"['clown', 'admitted', 'big', 'idiot', 'keep', 'new', 'york', 'economy', 'closed', 'also', 'admits', 'minority', 'businesses', 'hardest', 'hit', 'k', 'businesses', 'closed', 'good', 'newsom', 'seems', 'following', 'model', 'leading', 'many', 'bankruptcy', 'causing', 'thousands', 'deaths', 'nursing', 'homes', 'mainstream', 'media', 'seems', 'willing', 'moreso', 'tell', 'truth', 'cuomo', 'newsom', 'gets', 'glowing', 'reviews', 'across', 'nation', 'need', 'removed', 'office', 'quickly', 'possible', 'edicts', 'reversed', 'businesses', 'opened', 'useful', 'tidbits', 'ponder', 'coronavirus', 'crisis', 'forced', 'small', 'businesses', 'new', 'york', 'close', 'permanently', 'governor', 'said', 'friday', 'huge', 'swath', 'closures', 'means', 'main', 'streets', 'look', 'lot', 'different', 'state', 'allowed', 'reopen', 'risk', 'businesses', 'owned', 'minorities', 'gov', 'andrew', 'cuomo', 'said', 'small', 'businesses', 'taking', 'real', 'beating', 'said', 'percent', 'new', 'york', 'businesses', 'facing', 'toughest', 'challengers']","['clown', 'idiot', 'york', 'economy', 'minority', 'businesses', 'k', 'businesses', 'newsom', 'model', 'bankruptcy', 'thousands', 'deaths', 'homes', 'media', 'moreso', 'tell', 'truth', 'cuomo', 'reviews', 'nation', 'office', 'edicts', 'businesses', 'tidbits', 'coronavirus', 'crisis', 'businesses', 'york', 'governor', 'swath', 'closures', 'streets', 'state', 'risk', 'businesses', 'minorities', 'cuomo', 'businesses', 'beating', 'york', 'businesses', 'challengers']","['clown', 'big', 'idiot', 'new', 'york', 'economy', 'admits', 'minority', 'businesses', 'k', 'businesses', 'good', 'newsom', 'model', 'many', 'bankruptcy', 'thousands', 'deaths', 'homes', 'mainstream', 'media', 'willing', 'moreso', 'tell', 'truth', 'cuomo', 'newsom', 'reviews', 'nation', 'office', 'possible', 'edicts', 'businesses', 'useful', 'tidbits', 'coronavirus', 'crisis', 'small', 'businesses', 'new', 'york', 'governor', 'friday', 'huge', 'swath', 'closures', 'main', 'streets', 'different', 'state', 'reopen', 'risk', 'businesses', 'minorities', 'andrew', 'cuomo', 'small', 'businesses', 'real', 'beating', 'percent', 'new', 'york', 'businesses', 'toughest', 'challengers']",6,3,clown idiot york economy minority businesses k businesses newsom model bankruptcy thousands deaths homes media moreso tell truth cuomo reviews nation office edicts businesses tidbits coronavirus crisis businesses york governor swath closures streets state risk businesses minorities cuomo businesses beating york businesses challengers,clown big idiot new york economy admits minority businesses k businesses good newsom model many bankruptcy thousands deaths homes mainstream media willing moreso tell truth cuomo newsom reviews nation office possible edicts businesses useful tidbits coronavirus crisis small businesses new york governor friday huge swath closures main streets different state reopen risk businesses minorities andrew cuomo small businesses real beating percent new york businesses toughest challengers,1
1461425904038153,"“It is a race, yes. But it's not a race against the other guys. It's a race against the virus disappearing, and against time,” Professor Hill. “But at the moment, there’s a 50 per cent chance that we get no result at all. We’re in the bizarre position of wanting Covid to stay, at least for a little while. But cases are declining."" #morediseasemoreprofits #naturalcourseofavirus #flatteninganddissappearingonitsown.... #science",race yes race guys race virus disappearing time professor hill moment per cent chance get result bizarre position wanting covid stay least little cases declining morediseasemoreprofits naturalcourseofavirus flatteninganddissappearingonitsown science,"['race', 'yes', 'race', 'guys', 'race', 'virus', 'disappearing', 'time', 'professor', 'hill', 'moment', 'per', 'cent', 'chance', 'get', 'result', 'bizarre', 'position', 'wanting', 'covid', 'stay', 'least', 'little', 'cases', 'declining', 'morediseasemoreprofits', 'naturalcourseofavirus', 'flatteninganddissappearingonitsown', 'science']","['race', 'race', 'guys', 'race', 'time', 'professor', 'moment', 'cent', 'chance', 'position', 'stay', 'cases', 'morediseasemoreprofits', 'science']","['race', 'race', 'guys', 'race', 'time', 'professor', 'moment', 'cent', 'chance', 'bizarre', 'position', 'covid', 'stay', 'least', 'little', 'cases', 'morediseasemoreprofits', 'flatteninganddissappearingonitsown', 'science']",4,2,race race guys race time professor moment cent chance position stay cases morediseasemoreprofits science,race race guys race time professor moment cent chance bizarre position covid stay least little cases morediseasemoreprofits flatteninganddissappearingonitsown science,4
1461813553999388,"If a serological test has 90% specificity, its positive predictive value will be 32.1% – meaning nearly 70% of positive results will likely be false. At this same disease prevalence, a test with 95% specificity will lead to a 50% chance that a positive result is wrong.",serological test specificity positive predictive value meaning nearly positive results likely false disease prevalence test specificity lead chance positive result wrong,"['serological', 'test', 'specificity', 'positive', 'predictive', 'value', 'meaning', 'nearly', 'positive', 'results', 'likely', 'false', 'disease', 'prevalence', 'test', 'specificity', 'lead', 'chance', 'positive', 'result', 'wrong']","['test', 'specificity', 'value', 'results', 'disease', 'prevalence', 'test', 'specificity', 'chance', 'result']","['serological', 'test', 'specificity', 'positive', 'predictive', 'value', 'positive', 'results', 'likely', 'false', 'disease', 'prevalence', 'test', 'specificity', 'chance', 'positive', 'result', 'wrong']",1,1,test specificity value results disease prevalence test specificity chance result,serological test specificity positive predictive value positive results likely false disease prevalence test specificity chance positive result wrong,4
1461474000700010,"Sure, it was the virus that killed the small businesses. Never mind that the insane taxes, laws, and business regulations had something to do with it. The virus was the thing that finally pushed the small businesses over the edge. They were already struggling to keep their heads above water due to the taxes and regulations I mentioned earlier. If those things didn’t exist, then the small businesses would still have a fighting chance.",sure virus killed small businesses never mind insane taxes laws business regulations something virus thing finally pushed small businesses edge already struggling keep heads water due taxes regulations mentioned earlier things exist small businesses would still fighting chance,"['sure', 'virus', 'killed', 'small', 'businesses', 'never', 'mind', 'insane', 'taxes', 'laws', 'business', 'regulations', 'something', 'virus', 'thing', 'finally', 'pushed', 'small', 'businesses', 'edge', 'already', 'struggling', 'keep', 'heads', 'water', 'due', 'taxes', 'regulations', 'mentioned', 'earlier', 'things', 'exist', 'small', 'businesses', 'would', 'still', 'fighting', 'chance']","['virus', 'businesses', 'taxes', 'laws', 'business', 'regulations', 'something', 'thing', 'businesses', 'heads', 'water', 'taxes', 'regulations', 'things', 'businesses', 'chance']","['sure', 'virus', 'small', 'businesses', 'insane', 'taxes', 'laws', 'business', 'regulations', 'something', 'virus', 'thing', 'small', 'businesses', 'heads', 'water', 'due', 'taxes', 'regulations', 'earlier', 'things', 'small', 'businesses', 'chance']",2,1,virus businesses taxes laws business regulations something thing businesses heads water taxes regulations things businesses chance,sure virus small businesses insane taxes laws business regulations something virus thing small businesses heads water due taxes regulations earlier things small businesses chance,3
1459945734186170,Unacceptable,unacceptable,['unacceptable'],[],['unacceptable'],0,0,,unacceptable,0
1461560127358064,"Thousands of racing fans packed the stands of a North Carolina speedway on Saturday, despite state restrictions that limit outdoor gatherings to 25 people. Alamance County Sheriff Terry Johnson told the station he felt Governor Roy Cooper's executive order was ""unconstitutional"" and said he would not interfere with the race.https://www.fox32chicago.com/news/thousands-of-racing-fans-pack-the-stands-at-north-carolina-speedway",thousands racing fans packed stands north carolina speedway saturday despite state restrictions limit outdoor gatherings people alamance county sheriff terry johnson told station felt governor roy cooper executive order unconstitutional said would interfere race https www fox chicago com news thousands racing fans pack stands north carolina speedway,"['thousands', 'racing', 'fans', 'packed', 'stands', 'north', 'carolina', 'speedway', 'saturday', 'despite', 'state', 'restrictions', 'limit', 'outdoor', 'gatherings', 'people', 'alamance', 'county', 'sheriff', 'terry', 'johnson', 'told', 'station', 'felt', 'governor', 'roy', 'cooper', 'executive', 'order', 'unconstitutional', 'said', 'would', 'interfere', 'race', 'https', 'www', 'fox', 'chicago', 'com', 'news', 'thousands', 'racing', 'fans', 'pack', 'stands', 'north', 'carolina', 'speedway']","['thousands', 'fans', 'stands', 'speedway', 'state', 'restrictions', 'gatherings', 'people', 'county', 'sheriff', 'terry', 'johnson', 'station', 'governor', 'roy', 'cooper', 'executive', 'order', 'race', 'https', 'www', 'fox', 'chicago', 'com', 'news', 'thousands', 'fans', 'carolina', 'speedway']","['thousands', 'fans', 'stands', 'north', 'carolina', 'speedway', 'saturday', 'state', 'restrictions', 'outdoor', 'gatherings', 'people', 'county', 'sheriff', 'terry', 'johnson', 'station', 'governor', 'roy', 'cooper', 'executive', 'order', 'unconstitutional', 'race', 'https', 'www', 'fox', 'chicago', 'com', 'news', 'thousands', 'fans', 'north', 'carolina', 'speedway']",7,4,thousands fans stands speedway state restrictions gatherings people county sheriff terry johnson station governor roy cooper executive order race https www fox chicago com news thousands fans carolina speedway,thousands fans stands north carolina speedway saturday state restrictions outdoor gatherings people county sheriff terry johnson station governor roy cooper executive order unconstitutional race https www fox chicago com news thousands fans north carolina speedway,4
1456087007905376,Todd Jones,todd jones,"['todd', 'jones']","['todd', 'jones']","['todd', 'jones']",10,4,todd jones,todd jones,3
1459747040872706,"295 million, This is a  Waste of money. That money should be used to better protect the elderly.",million waste money money used better protect elderly,"['million', 'waste', 'money', 'money', 'used', 'better', 'protect', 'elderly']","['waste', 'money', 'money']","['waste', 'money', 'money', 'elderly']",9,4,waste money money,waste money money elderly,3
1459184227595654,KVUE was live.,kvue live,"['kvue', 'live']",['kvue'],['kvue'],8,5,kvue,kvue,4
1462683900579020,T-Minus one hour if weather holds. Godspeed Doug and Robert. Exciting day!,minus one hour weather holds godspeed doug robert exciting day,"['minus', 'one', 'hour', 'weather', 'holds', 'godspeed', 'doug', 'robert', 'exciting', 'day']","['hour', 'weather', 'doug', 'robert', 'day']","['hour', 'weather', 'doug', 'robert', 'exciting', 'day']",5,5,hour weather doug robert day,hour weather doug robert exciting day,0
1456237437890333,Thank you ,thank,['thank'],['thank'],['thank'],13,3,thank,thank,1
1456237437890333,Shouldn't we have backup on MeWe in case Facebook does what Facebook likes to do?,backup mewe case facebook facebook likes,"['backup', 'mewe', 'case', 'facebook', 'facebook', 'likes']","['backup', 'mewe', 'case', 'facebook', 'facebook', 'likes']","['backup', 'mewe', 'case', 'facebook', 'facebook', 'likes']",7,3,backup mewe case facebook facebook likes,backup mewe case facebook facebook likes,0
1456237437890333,See this ,see,['see'],[],[],0,0,,,4
1456237437890333,Re-Open America,open america,"['open', 'america']",['america'],"['open', 'america']",8,3,america,open america,1
1456237437890333,Why did one person hit the laugh button on this? ,one person hit laugh button,"['one', 'person', 'hit', 'laugh', 'button']","['person', 'button']","['person', 'laugh', 'button']",4,6,person button,person laugh button,3
1456237437890333,"Thank you , Craig  Derry !  So vital to know ! ",thank craig derry vital know,"['thank', 'craig', 'derry', 'vital', 'know']","['thank', 'craig', 'derry', 'vital']","['thank', 'craig', 'derry', 'vital']",13,3,thank craig derry vital,thank craig derry vital,1
1456237437890333,Why did Alegandro Roberto laugh at this?  Admin? ,alegandro roberto laugh admin,"['alegandro', 'roberto', 'laugh', 'admin']","['alegandro', 'roberto', 'admin']","['alegandro', 'roberto', 'admin']",0,2,alegandro roberto admin,alegandro roberto admin,3
1462713730576037,Which law?,law,['law'],['law'],['law'],5,0,law,law,2
1462713730576037,Law?,law,['law'],['law'],['law'],5,0,law,law,2
1462713730576037,"There is no 'law""",law,['law'],['law'],['law'],5,0,law,law,2
1462713730576037,I’ve seen that in other places as well...... it’s no law.  ,seen places well law,"['seen', 'places', 'well', 'law']","['places', 'law']","['places', 'law']",5,0,places law,places law,4
1462713730576037,"And on that note, since when do masks actually help?",note since masks actually help,"['note', 'since', 'masks', 'actually', 'help']","['note', 'masks']","['note', 'masks']",6,6,note masks,note masks,2
1462713730576037,"If this kind of mask can't keep out spray paint, do you think it can stop the much tinier COVID virus?",kind mask keep spray paint think stop much tinier covid virus,"['kind', 'mask', 'keep', 'spray', 'paint', 'think', 'stop', 'much', 'tinier', 'covid', 'virus']","['kind', 'mask', 'keep', 'spray', 'paint', 'covid', 'virus']","['kind', 'mask', 'keep', 'spray', 'paint', 'tinier', 'covid', 'virus']",4,1,kind mask keep spray paint covid virus,kind mask keep spray paint tinier covid virus,4
1462713730576037,It's not the Law people. Wake up and realize that the government is lying to us. ,law people wake realize government lying us,"['law', 'people', 'wake', 'realize', 'government', 'lying', 'us']","['law', 'people', 'government']","['law', 'people', 'realize', 'government']",5,0,law people government,law people realize government,4
1462713730576037,"Oh, yeah, go to the CDC--the gang that can't shoot straight!",oh yeah go cdc gang shoot straight,"['oh', 'yeah', 'go', 'cdc', 'gang', 'shoot', 'straight']","['yeah', 'cdc', 'gang', 'shoot']","['yeah', 'cdc', 'gang', 'shoot']",11,2,yeah cdc gang shoot,yeah cdc gang shoot,2
1462713730576037,No they are not,,[],[],[],0,0,,,0
1462713730576037,Law??? Really!!! ,law really,"['law', 'really']",['law'],['law'],5,0,law,law,2
1462713730576037,Not all cvs require this. The ones in my neighborhood just have a sign saying masks are encouraged.,cvs require ones neighborhood sign saying masks encouraged,"['cvs', 'require', 'ones', 'neighborhood', 'sign', 'saying', 'masks', 'encouraged']","['cvs', 'require', 'ones', 'masks']","['cvs', 'require', 'ones', 'masks']",5,6,cvs require ones masks,cvs require ones masks,4
1462713730576037,Fo Cvs,fo cvs,"['fo', 'cvs']","['fo', 'cvs']","['fo', 'cvs']",5,5,fo cvs,fo cvs,2
1462713730576037,Bs,bs,['bs'],['bs'],['bs'],4,1,bs,bs,3
1462713730576037,Orders are not lews,orders lews,"['orders', 'lews']","['orders', 'lews']","['orders', 'lews']",2,2,orders lews,orders lews,0
